institution,type,ds_program,usnews_rank,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
Saint Joseph's University,1,0,,2,3,2,5,89,54,2,67,9,7,10,4669,79,68186,59,244971786,454664777,1249.66,102412,89,21,100
Sam Houston State University,1,0,257,1,4,2,4,90,63,1,46,28,17,2,15267,55,9978,85,425463126,190847399,2364.66,73727,73,50,85
San Francisco State University,1,1,208,1,4,2,4,96,55,5,15,38,6,23,17932,50,8399,-52,570423829,175553573,2376.34,118969,83,51,81
San Jose State University,1,0,,1,5,2,4,85,48,4,13,32,4,38,23106,69,6958,-67,700878581,207715718,2830.32,115721,87,37,69
Seton Hall University,1,1,158,2,3,2,6,73,55,1,46,27,10,9,6169,69,39889,60,304920000,369807000,1507.99,105482,81,38,100
South Carolina State University,1,1,,1,2,1,4,83,56,0,2,0,92,0,2710,37,6858,51,121466470,19681117,653.66,73679,56,79,96
South Dakota State University,1,0,257,1,3,1,3,98,57,3,84,3,2,1,8008,62,28070,78,328986035,269079345,1822.34,91715,84,21,97
Southern Connecticut State University,1,0,,1,3,2,4,91,61,1,43,25,19,4,5791,50,5386,86,245635921,40457103,1219,100882,78,55,91
Southern University and A & M College,1,1,395,1,3,1,4,35,67,0,2,1,92,0,5167,27,2024,5,186022584,13402004,1134,69575,60,83,98
Stevens Institute of Technology,1,1,80,2,3,2,5,48,33,3,49,16,3,20,4097,87,44648,60,336811000,374598000,1211.67,158488,94,20,99
SUNY College of Environmental Science and Forestry,1,1,158,1,2,2,3,63,54,2,64,12,7,5,1711,66,23791,-7,121957013,47820260,428.33,88850,87,27,99
Tarleton State University,1,1,73,1,3,2,4,90,62,1,62,25,6,1,11301,48,8521,89,265070600,112156504,1373.67,74603,70,38,97
Tennessee State University,1,0,395,1,3,1,4,70,65,3,5,3,82,1,6123,34,16511,57,275858308,115311043,1344,79675,33,55,75
Tennessee Technological University,1,0,257,1,3,2,6,76,46,2,79,5,5,3,8265,58,11772,81,228233193,105785212,1367.66,84887,78,37,97
Texas A & M University-Commerce,1,0,384,1,3,2,4,92,60,2,40,26,20,2,6859,43,4557,83,195181178,38742427,1127.32,80127,57,68,95
Texas A & M University-Corpus Christi,1,1,95,1,3,2,3,89,60,2,33,54,4,3,6995,40,14342,87,288469649,139062959,1426.33,85343,58,48,83
Texas A & M University-Kingsville,1,1,352,1,3,2,6,91,51,2,15,77,4,1,4268,42,30043,86,182452916,164847431,1033.33,78677,65,67,96
Texas Christian University,1,0,97,2,3,2,5,44,61,5,64,18,4,2,10909,86,209043,74,602553000,2615547000,2673.99,126105,93,16,89
Texas Southern University,1,0,395,1,3,2,4,97,66,1,1,7,86,1,6097,22,13197,50,229528253,102120225,1129.33,78684,66,80,97
Texas State University,1,0,257,1,5,2,4,89,60,1,39,42,9,3,30248,55,12255,83,743802261,411758097,4157.34,82240,80,45,87
Texas Woman's University,1,0,329,1,4,2,4,96,87,1,31,36,17,9,7742,49,9317,48,249974674,133171935,1613.69,85732,70,60,94
The University of Texas Rio Grande Valley,1,0,213,1,5,2,6,94,59,2,2,93,1,1,23744,51,5336,81,720082285,149460403,4302.66,81370,81,76,95
Thomas Jefferson University,1,1,132,2,3,2,-2,81,74,2,45,13,16,16,3517,69,339617,46,747577500,2912558000,5614.35,95958,82,47,100
University of Akron Main Campus,1,0,373,1,3,2,4,60,49,2,70,4,12,4,8855,52,30157,30,283061322,351635016,1797,92303,73,42,97
