institution,type,ds_program,usnews_rank,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
Morgan State University,0,1,329,1,3,2,4,82,62,7,1,5,71,0,8012,41,11647,64,351794390,106488900,2043,103891,91,20,95
North Carolina A & T State University,2,1,232,1,3,1,4,50,62,0,4,5,84,1,11650,57,15443,64,332305659,201941618,1946.34,95613,75,48,100
Northern Illinois University,2,1,301,1,3,2,4,70,53,1,43,25,21,7,10523,49,8554,18,422462162,114772816,2871.34,99800,84,20,100
Oakland University,2,0,318,1,3,2,3,88,58,2,69,5,10,7,10794,58,10940,58,325826757,151474929,1945.34,94743,88,15,61
Pepperdine University,0,0,39,2,3,2,5,63,59,8,44,19,4,15,3505,83,124238,69,469768000,1319031000,1801.66,128828,97,18,64
Portland State University,2,0,222,1,4,2,4,91,57,3,47,20,5,10,11593,53,8141,54,494552023,123171915,2499.33,107329,92,17,100
Prairie View A & M University,0,1,343,1,3,1,4,79,66,1,1,7,85,1,8572,43,16768,87,271530045,150054853,1309.67,84515,93,27,69
Rochester Institute of Technology,2,0,88,2,3,2,5,67,35,4,52,8,5,11,13185,70,97173,75,628263000,1384518000,3942,103776,72,30,100
Rowan University,2,0,169,1,4,2,4,78,49,2,60,14,12,6,13926,67,24496,8,772440744,434635893,3369.66,97749,76,27,100
Rutgers University-Camden,1,0,97,1,3,2,6,66,59,2,37,22,19,12,3653,67,17634,-36,266009322,88275358,1005,127379,89,32,99
Rutgers University-Newark,1,1,75,1,3,2,6,71,53,2,20,34,19,18,7088,64,26074,20,501904130,250906779,1752.67,148285,82,37,97
Saint Joseph's University,1,0,,2,3,2,5,89,54,2,67,9,7,10,4669,79,68186,59,244971786,454664777,1249.66,102412,80,55,95
Sam Houston State University,0,0,257,1,4,2,4,90,63,1,46,28,17,2,15267,55,9978,85,425463126,190847399,2364.66,73727,88,25,100
San Francisco State University,1,1,208,1,4,2,4,96,55,5,15,38,6,23,17932,50,8399,-52,570423829,175553573,2376.34,118969,84,54,82
San Jose State University,2,0,,1,5,2,4,85,48,4,13,32,4,38,23106,69,6958,-67,700878581,207715718,2830.32,115721,88,14,100
Seton Hall University,2,1,158,2,3,2,6,73,55,1,46,27,10,9,6169,69,39889,60,304920000,369807000,1507.99,105482,86,19,100
South Carolina State University,1,1,,1,2,1,4,83,56,0,2,0,92,0,2710,37,6858,51,121466470,19681117,653.66,73679,89,21,100
South Dakota State University,0,0,257,1,3,1,3,98,57,3,84,3,2,1,8008,62,28070,78,328986035,269079345,1822.34,91715,91,25,62
Southern Connecticut State University,2,0,,1,3,2,4,91,61,1,43,25,19,4,5791,50,5386,86,245635921,40457103,1219,100882,88,24,100
Southern University and A & M College,2,1,395,1,3,1,4,35,67,0,2,1,92,0,5167,27,2024,5,186022584,13402004,1134,69575,80,30,100
Stevens Institute of Technology,2,1,80,2,3,2,5,48,33,3,49,16,3,20,4097,87,44648,60,336811000,374598000,1211.67,158488,84,21,100
SUNY College of Environmental Science and Forestry,2,1,158,1,2,2,3,63,54,2,64,12,7,5,1711,66,23791,-7,121957013,47820260,428.33,88850,82,30,100
Tarleton State University,2,1,73,1,3,2,4,90,62,1,62,25,6,1,11301,48,8521,89,265070600,112156504,1373.67,74603,68,71,100
Tennessee State University,1,0,395,1,3,1,4,70,65,3,5,3,82,1,6123,34,16511,57,275858308,115311043,1344,79675,73,50,85
Tennessee Technological University,0,0,57,1,3,2,6,76,46,2,79,5,5,3,8265,58,11772,81,228233193,105785212,1367.66,84887,67,52,98
Texas A & M University-Commerce,1,0,384,1,3,2,4,92,60,2,40,26,20,2,6859,43,4557,83,195181178,38742427,1127.32,80127,83,51,81
Texas A & M University-Corpus Christi,1,1,95,1,3,2,3,89,60,2,33,54,4,3,6995,40,14342,87,288469649,139062959,1426.33,85343,87,37,69
Texas A & M University-Kingsville,2,1,352,1,3,2,6,91,51,2,15,77,4,1,4268,42,30043,86,182452916,164847431,1033.33,78677,87,12,91
Texas Christian University,2,0,97,2,3,2,5,44,61,5,64,18,4,2,10909,86,209043,74,602553000,2615547000,2673.99,126105,94,12,62
Texas Southern University,1,0,395,1,3,2,4,97,66,1,1,7,86,1,6097,22,13197,50,229528253,102120225,1129.33,78684,81,38,100
Texas State University,2,0,257,1,5,2,4,89,60,1,39,42,9,3,30248,55,12255,83,743802261,411758097,4157.34,82240,60,41,100
Texas Woman's University,2,0,329,1,4,2,4,96,87,1,31,36,17,9,7742,49,9317,48,249974674,133171935,1613.69,85732,90,12,64
